,Team,Active Players,Forwards,Midfielders,Defenders,Goalkeepers,Transfer Fee,Est. Total Salary,Avg Salary per player,Year,Finishing Position,Played,Won,Drawn,Lost,Goals Scored,Goals Conceded,Goal Difference,Points,PoundsSpentPerPoint
20,Tottenham Hotspur,23,"23,348,000.00","30,680,000.00","23,998,000.00","8,320,000.00",,"86,346,000.00","3,754,174.00",2018,3,38,23,8,7,74,36,38,77,"1,121,376.62"
27,Watford,23,"13,520,000.00","14,040,000.00","15,812,000.00","3,380,000.00","17,800,000.00","46,752,000.00","2,032,696.00",2018,14,38,11,8,19,44,64,-20,41,"1,140,292.68"
31,Manchester City,26,"44,200,000.00","50,440,000.00","43,026,000.00","7,540,000.00","62,350,000.00","145,206,000.00","5,584,846.00",2018,1,38,32,4,2,106,27,79,100,"1,452,060.00"
24,Crystal Palace,25,"20,020,000.00","18,356,000.00","25,012,000.00","6,500,000.00","9,500,000.00","69,888,000.00","2,795,520.00",2018,11,38,11,11,16,45,55,-10,44,"1,588,363.64"
29,Liverpool,26,"38,480,000.00","46,020,000.00","29,900,000.00","7,800,000.00","176,587,250.00","122,200,000.00","4,700,000.00",2018,4,38,21,12,5,84,38,46,75,"1,629,333.33"
25,Leicester City,28,"15,860,000.00","26,312,000.00","28,340,000.00","8,996,000.00","91,500,000.00","79,508,000.00","2,839,571.00",2018,9,38,12,11,15,56,60,-4,47,"1,691,659.57"
28,Everton,28,"18,096,000.00","31,176,000.00","28,080,000.00","6,760,000.00","88,870,000.00","84,112,000.00","3,004,000.00",2018,8,38,13,10,15,44,58,-14,49,"1,716,571.43"
17,Manchester United,26,"39,520,000.00","56,680,000.00","37,180,000.00","15,600,000.00","71,000,000.00","148,980,000.00","5,730,000.00",2018,2,38,25,6,7,68,28,40,81,"1,839,259.26"
32,Chelsea,28,"10,365,000.00","61,542,000.00","44,980,000.00","11,596,000.00","195,360,000.00","132,903,000.00","4,746,536.00",2018,5,38,21,7,10,62,38,24,70,"1,898,614.29"
19,Southampton,24,"23,140,000.00","17,420,000.00","21,216,000.00","8,320,000.00","55,300,000.00","70,096,000.00","2,920,667.00",2018,17,38,7,15,16,37,56,-19,36,"1,947,111.11"
21,West Ham United,25,"22,100,000.00","34,476,000.00","22,464,000.00","5,980,000.00","87,900,000.00","85,020,000.00","3,400,800.00",2018,13,38,10,12,16,48,68,-20,42,"2,024,285.71"
30,Arsenal,28,"28,967,273.00","50,180,000.00","37,544,000.00","11,960,000.00","69,900,000.00","128,651,273.00","4,594,688.00",2018,6,38,19,6,13,74,51,23,63,"2,042,083.70"
23,Bournemouth,7,"3,640,000.00","2,600,000.00","8,060,000.00","3,640,000.00","25,125,000.00","17,940,000.00","2,562,857.00",2018,12,38,11,11,16,45,61,-16,44,"407,727.27"
22,Burnley,24,"9,620,000.00","11,128,000.00","14,096,000.00","7,036,000.00","29,700,000.00","41,880,000.00","1,745,000.00",2018,7,38,14,12,12,36,39,-3,54,"775,555.56"
26,Huddersfield Town,25,"9,219,600.00","10,452,000.00","10,712,000.00","650,000.00","38,870,000.00","31,033,600.00","1,241,344.00",2018,16,38,9,10,19,28,58,-30,37,"838,745.95"
39,Newcastle United,25,"14,848,000.00","11,441,000.00","18,496,000.00","4,576,000.00","83,680,000.00","49,361,000.00","1,974,440.00",2019,13,38,12,9,17,42,48,-6,45,"1,096,911.11"
36,Liverpool,25,"31,954,000.00","46,020,000.00","29,536,000.00","7,580,000.00","9,350,000.00","115,090,000.00","4,603,600.00",2019,2,38,30,7,1,89,22,67,97,"1,186,494.85"
43,Burnley,25,"10,140,000.00","18,408,000.00","15,136,000.00","4,920,000.00","14,773,000.00","48,604,000.00","1,944,160.00",2019,15,38,11,7,20,45,68,-23,40,"1,215,100.00"
